Note: right most side of the right part of this document is column 0 and row 0, so the entire list of strokes starts from the extreme right side:
http://www.keyboard-layout-editor.com/#/gists/50db7ea7b0832342d4c734eb985ec16b

schematic
https://github.com/Supermagnum/Europe-ergo/blob/main/Europe-ergo-PCB/schema/Europe-ergo.pdf

Ψ Console Connected: Supermagnum europe_ergo (FEED:0000:1)
first row,
Supermagnum:europe_ergo:1: KL: kc: 0x0000, col:  6, row: 11, pressed: 0, time:  7658, int: 0, count: 0
^[[DSupermagnum:europe_ergo:1: KL: kc: 0x0050, col:  5, row: 11, pressed: 1, time:  7930, int: 0, count: 0
Supermagnum:europe_ergo:1: KL: kc: 0x0050, col:  5, row: 11, pressed: 0, time:  8047, int: 0, count: 0
Supermagnum:europe_ergo:1: KL: kc: 0x0000, col:  4, row: 11, pressed: 1, time:  8334, int: 0, count: 0
Supermagnum:europe_ergo:1: KL: kc: 0x0000, col:  4, row: 11, pressed: 0, time:  8453, int: 0, count: 0
Supermagnum:europe_ergo:1: KL: kc: 0x0000, col:  3, row: 11, pressed: 1, time:  8844, int: 0, count: 0
Supermagnum:europe_ergo:1: KL: kc: 0x0000, col:  3, row: 11, pressed: 0, time:  8994, int: 0, count: 0
^[[ASupermagnum:europe_ergo:1: KL: kc: 0x0052, col:  1, row: 11, pressed: 1, time:  9347, int: 0, count: 0
Supermagnum:europe_ergo:1: KL: kc: 0x0052, col:  1, row: 11, pressed: 0, time:  9501, int: 0, count: 0
Supermagnum:europe_ergo:1: KL: kc: 0x0000, col:  0, row: 11, pressed: 1, time:  9870, int: 0, count: 0
Supermagnum:europe_ergo:1: KL: kc: 0x0000, col:  0, row: 11, pressed: 0, time: 10062, int: 0, count: 0


